抽せん日,候補_3桁,joint_prob,EV_net,hit,回号,date_key,候補_3桁_pick,EV_net_adj_pick,joint_prob_pick,予測番号,百,十,一,EV_gross,price,expected_payout,model_name,feature_set,gen_at,source,当選番号3
2025-11-17,944,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,944.0,9.0,4.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,945,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,945.0,9.0,4.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,946,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,946.0,9.0,4.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,949,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,949.0,9.0,4.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,950,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,950.0,9.0,5.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,951,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,951.0,9.0,5.0,1.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,952,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,952.0,9.0,5.0,2.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,954,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,954.0,9.0,5.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,956,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,956.0,9.0,5.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,848,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,848.0,8.0,4.0,8.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,957,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,957.0,9.0,5.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,959,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,959.0,9.0,5.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,929,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,929.0,9.0,2.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,930,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,930.0,9.0,3.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,931,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,931.0,9.0,3.0,1.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,932,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,932.0,9.0,3.0,2.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,933,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,933.0,9.0,3.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,934,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,934.0,9.0,3.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,935,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,935.0,9.0,3.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,937,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,937.0,9.0,3.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,938,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,938.0,9.0,3.0,8.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,939,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,939.0,9.0,3.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,941,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,941.0,9.0,4.0,1.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
