feature,importance,std
一の位_last_freq_w30,0.00048638132295720365,0.005305793830075735
百の位_diff1,8.673617379884035e-18,0.00753498705487824
一の位_連続同値カウント,6.938893903907228e-18,0.002751388253644154
百の位_lag4,5.204170427930421e-18,0.0072794890793267345
四半期_4,0.0,0.0
十の位_連続同値カウント,0.0,0.0
連番フラグ,0.0,0.0
百の位_gap_same_w200,0.0,0.0
百の位_連続同値カウント,0.0,0.0
ゾロ目フラグ,0.0,0.0
一の位_gap_same_w300,0.0,0.0
一の位_gap_same_w200,0.0,0.0
十の位_gap_same_w300,0.0,0.0
十の位_gap_same_w100,0.0,0.0
十の位_gap_same_w200,0.0,0.0
ゾロ目,0.0,0.0
sum_ge25,0.0,0.0
一の位_freq_change_w10,0.0,0.0
一の位_gap_same_w100,0.0,0.0
四半期_1,0.0,0.0
百の位_gap_same_w100,0.0,0.0
百の位_gap_same_w300,0.0,0.0
十の位_freq_change_w10,-0.0004863813229571898,0.0040983218741130175
一の位_lag7,-0.0004863813229571898,0.0062854318985019865
ストレート_金額,-0.0004863813229571915,0.010374868194407359
百の位_lag1,-0.00048638132295719325,0.009418733818597803
一の位_lag8,-0.0009727626459143865,0.005754941423248655
sum_20_24,-0.0009727626459143934,0.001684874326428863
ミニ_金額,-0.0014591439688715867,0.002708056596707206
sum_10_14,-0.0014591439688715867,0.003860532068674008
一の位_lag2,-0.0014591439688715867,0.007263222044293815
十の位_lag5,-0.0014591439688715867,0.0061330351230148294
十の位_lag2,-0.0019455252918287869,0.0070146911974007554
sum_lt10,-0.0024319066147859836,0.0018837467637195541
十の位_lag4,-0.002431906614785987,0.005481239138903039
百の位_十の位_pair_last_w90,-0.0029182879377431838,0.002573688045782673
十の位_lag7,-0.0029182879377431838,0.004665205761977352
十の位_last_freq_w30,-0.0029182879377431838,0.0037674935274391234
百の位_last_freq_w30,-0.0029182879377431838,0.005416113193414419
十の位_一の位_pair_last_w50,-0.0029182879377431838,0.002573688045782673
最大-最小,-0.0029182879377431838,0.006074900776652137
百の位_last_freq_w10,-0.0029182879377431838,0.002573688045782673
百の位_expfreq_l100_a006,-0.0038910505836575737,0.006739497305715476
百の位_一の位_pair_last_w90,-0.003891050583657577,0.0019455252918287938
十の位_lag6,-0.003891050583657577,0.008915516916256494
百の位_lag2,-0.0038910505836575807,0.004765544246659879
一の位_lag4,-0.0038910505836575807,0.007279489079326738
hot_cold_score_一の位,-0.003891050583657584,0.003369748652857738
一の位_lag1,-0.004377431906614777,0.0036071004314667593
一の位_lag9,-0.004377431906614781,0.008795302198455798
百の位_十の位_pair_last_w30,-0.004863813229571974,0.0016848743264288749
ミニ_口数,-0.0058365758754863745,0.008480348139184189
合計,-0.006809338521400775,0.005054622979286606
百の位_freq_change_w10,-0.006809338521400775,0.0016848743264288749
十の位_lag10,-0.008268482490272368,0.005305793830075738
百の位_一の位_pair_last_w200,-0.008268482490272368,0.0045366629635646034
百の位_adiff1,-0.012159533073929956,0.004936231305978707
