回号,抽せん日,当せん番号,ストレート_口数,ストレート_金額,ボックス_口数,ボックス_金額,セットS_口数,セットS_金額,セットB_口数,セットB_金額,ミニ_口数,ミニ_金額,パターン,百の位,十の位,一の位,合計,最大,最小,最大-最小,曜日_int,曜日,パターン_code
6211,2023-05-16,464,50,116800,195,38900,143,77800,222,19400,820,11600,2桁一致,4,6,4,14,6,4,2,1,火曜日,1
6212,2023-05-17,620,80,99000,328,16500,223,57700,705,8200,731,9900,全て異なる,6,2,0,8,6,0,6,2,水曜日,0
6213,2023-05-18,350,213,75600,386,12600,134,44100,980,6300,640,7500,全て異なる,3,5,0,8,5,0,5,3,木曜日,0
6214,2023-05-19,138,61,80300,570,13300,233,46800,1472,6600,718,8000,全て異なる,1,3,8,12,8,1,7,4,金曜日,0
6215,2023-05-22,292,74,92100,385,30700,181,61400,576,15300,1015,9200,2桁一致,2,9,2,13,9,2,7,0,月曜日,1
6216,2023-05-23,931,82,68700,610,11400,247,40000,1494,5700,648,6800,全て異なる,9,3,1,13,9,1,8,1,火曜日,0
6217,2023-05-24,584,74,93500,455,15500,176,54500,989,7700,527,9300,全て異なる,5,8,4,17,8,4,4,2,水曜日,0
6218,2023-05-25,908,94,66400,566,11000,338,38700,1225,5500,651,6600,全て異なる,9,0,8,17,9,0,9,3,木曜日,0
6219,2023-05-26,277,59,92700,232,30900,156,61800,393,15400,1134,9200,2桁一致,2,7,7,16,7,2,5,4,金曜日,1
6220,2023-05-29,22,75,103500,247,34500,127,69000,395,17200,1151,10300,2桁一致,0,2,2,4,2,0,2,0,月曜日,1
6221,2023-05-30,41,45,122500,335,20400,96,71400,762,10200,608,12200,全て異なる,0,4,1,5,4,0,4,1,火曜日,0
6222,2023-05-31,47,75,101200,369,16800,173,59000,918,8400,477,10100,全て異なる,0,4,7,11,7,0,7,2,水曜日,0
6223,2023-06-01,608,67,103900,371,17300,210,60600,875,8600,468,10300,全て異なる,6,0,8,14,8,0,8,3,木曜日,0
6224,2023-06-02,322,210,78000,247,26000,156,52000,320,13000,550,7800,2桁一致,3,2,2,7,3,2,1,4,金曜日,1
6225,2023-06-05,753,115,73800,771,12300,332,43000,1403,6100,1877,7300,全て異なる,7,5,3,15,7,3,4,0,月曜日,0
6226,2023-06-06,76,70,116700,301,19400,132,68000,756,9700,470,11600,全て異なる,0,7,6,13,7,0,7,1,火曜日,0
6227,2023-06-07,995,60,112100,215,37300,150,74700,256,18600,626,11200,2桁一致,9,9,5,23,9,5,4,2,水曜日,1
6228,2023-06-08,232,75,106700,200,35500,120,71100,335,17700,701,10600,2桁一致,2,3,2,7,3,2,1,3,木曜日,1
6229,2023-06-09,583,95,66300,857,11000,240,38600,1668,5500,855,6600,全て異なる,5,8,3,16,8,3,5,4,金曜日,0
6230,2023-06-12,88,101,83700,341,27900,208,55800,549,13900,1522,8300,2桁一致,0,8,8,16,8,0,8,0,月曜日,1
6231,2023-06-13,370,37,113000,424,18800,119,65900,1012,9400,542,11300,全て異なる,3,7,0,10,7,0,7,1,火曜日,0
6232,2023-06-14,809,98,55700,566,9200,394,32400,1431,4600,931,5500,全て異なる,8,0,9,17,9,0,9,2,水曜日,0
6233,2023-06-15,469,76,95500,410,15900,215,55700,923,7900,586,9500,全て異なる,4,6,9,19,9,4,5,3,木曜日,0
