抽せん日,番号,rank,joint_prob,expected_payout,price,EV_gross,EV_net,百,十,一,候補_3桁,feature_set,model_name
2025-11-03,342,242,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,4,2,342,V5_joint,CalibratedJoint
2025-11-03,343,243,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,4,3,343,V5_joint,CalibratedJoint
2025-11-03,345,244,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,4,5,345,V5_joint,CalibratedJoint
2025-11-03,346,245,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,4,6,346,V5_joint,CalibratedJoint
2025-11-03,347,246,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,4,7,347,V5_joint,CalibratedJoint
2025-11-03,348,247,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,4,8,348,V5_joint,CalibratedJoint
2025-11-03,350,248,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,5,0,350,V5_joint,CalibratedJoint
2025-11-03,351,249,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,5,1,351,V5_joint,CalibratedJoint
2025-11-03,353,250,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,5,3,353,V5_joint,CalibratedJoint
2025-11-03,357,251,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,5,7,357,V5_joint,CalibratedJoint
2025-11-03,358,252,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,5,8,358,V5_joint,CalibratedJoint
2025-11-03,359,253,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,5,9,359,V5_joint,CalibratedJoint
2025-11-03,363,254,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,6,3,363,V5_joint,CalibratedJoint
2025-11-03,365,255,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,6,5,365,V5_joint,CalibratedJoint
2025-11-03,366,256,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,6,6,366,V5_joint,CalibratedJoint
2025-11-03,367,257,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,6,7,367,V5_joint,CalibratedJoint
